Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant
Data Architect – IT France (H/F),L'Oreal,Paris (75),vide,"Paris (75)
Data Architect – IT France
Au sein de l’IT France, le domaine Data & BI a pour mission de déployer des solutions BI, Analytics et Big Data, en répondant à la fois aux besoins et enjeux du business France, mais également en proposant des solutions innovantes alignées avec l’ensemble des choix technologiques du groupe.
Le domaine Data & BI est organisé en trois pôles d’activités :
Data Intelligence : implémentation de solutions BI de flux de données structurés (entrepôts de données) et de Reporting opérationnels et décisionnels intégrés
Data Visualization : implémentation de solutions de Reporting avancés, en mode agile, basées sur différents types de sources d’information (entrepôt, plateformes, fichiers, …)
Data Management : gestion des plateformes de données, flux d’intégration, d’export et process d’analyse et de calculs.
Au sein de l’IT France et du domaine Data & BI, vous prendrez la responsabilité du pôle « Data Management » avec comme rôle principal :
De dresser et maintenir la cartographie applicative des flux de données gérés à l’IT France
De définir les normes, méthodologies et bonnes pratiques autour des sujets d’architecture applicative, modélisation, développement, gestion de la donnée et usages
D’être garant de la gestion du code utilisé sur les plateformes, de sa qualité, et d’être responsable de son déploiement
De se tenir au courant et d’assurer la compliance avec les choix technologiques du Groupe sur les plateformes Data
D’être l’interlocuteur privilégié et incontournable des projets Data Business France
D’assurer le contrôle qualité des projets Data Business France tout au long de leur implémentation
De suivre son activité en autonomie et remonter régulièrement les avancées à sa hiérarchie
D’avoir une vision claire sur les optimisations architecturales possibles (roadmap data) et être force de proposition
Missions :
En tant que Data Architect au sein de l’IT France et du domaine Data & BI, vous participerez aux différents projets Data sur différentes phases :
Etre présent en amont lors des initiatives et projets Data Business France
Accompagner le Business dans la réalisation de leur projet (respect des bonnes pratiques, choix technologiques des plateformes et outils, …), piloter la conception technique et architecturale.
Piloter les Design Authority des sujets Data qui ont pour vocation à être industrialisées et gérés à l’IT
Assurer l’industrialisation des projets Data validés (gestion du code et de sa qualité, automatisation des processus) et la montée en charge des applications
Assurer la maintenance des plateformes Data (gestion de la performance, monitoring, optimisations)
Piloter les demandes d’évolutions des applications et des plateformes Data, en respectant les process utilisés par le domaine Data & BI
Vous assurez également de façon récurrente les activités suivantes :
Définir et maintenir la cartographie applicative de l’IT France, et des flux de données
Connaitre les types de données gérés par chaque application afin d’être le « guide » nécessaire au Business pour identifier la bonne source d’information requise (Data Stewart)
Savoir identifier les optimisations de flux à réaliser (mutualisation des plateformes, applications hors du chemin critique, unicité de l’information)
Exercer un rôle de conseil et de contrôle qualité sur les architectures projets (Respect des normes, standards et bonnes pratiques)
Assurer la veille technologique ; Piloter la relation avec les éditeurs
Vous devrez également travailler en étroite collaboration avec :
Votre hiérarchie directe (responsable de domaine et DSI), afin de donner une vision claire et organisée du pôle d’activité. Vous devrez intégrer votre suivi dans les process du domaine en place, par le suivi de la charge, de la capacité, du respect des échéances. Vous devrez également réaliser vos points de suivi réguliers.
Le Groupe et les initiatives ou projets en cours. Il est indispensable de se tenir continuellement informé de l’avancé des choix technologiques et mise en place des plateformes.
Profil:
Formation :
Ingénieur ou équivalent universitaire avec une spécialisation en informatique.
Expérience :
Expérience professionnelle représentative dans le domaine de la Data & BI, et surtout d’au moins 5 ans dans le monde du Data Management, avec gestion d’architecture applicative, garantissant ainsi un niveau d'autonomie suffisant en tant que Data Architect.
Compétences techniques :
Expérience concrète d’au minimum 5 ans dans la gouvernance de plateformes Data et applications associées
Bonnes connaissances des langages SQL, NoSQL, Python, Hadoop, Spark, Kafka
Bonne connaissances en clustering et optimisation des performances du serveur
Très bonnes connaissances des écosystèmes Cloud et notamment des solutions Google (Compute Engine, Cloud Storage, Big Query, API Analytics)
Très bonne connaissance des solutions d’orchestration et de montée en charge des clusters de serveurs (Docker, Kubernetes).
Bonne connaissance des méthodologies DevOps
Compétences en gestion de projets :
Formé au travail en phases, avec livrables, et suivis ; gestion des risques ; sens des priorités et des enjeux
Capacité à analyser les exigences fonctionnelles et à les formaliser en solutions techniques
Aisance relationnelle, sens du contact, de la communication orale, sensibilité dans les relations personnelles
Autonomie au quotidien et proactivité sur les actions de pilotage à mener (mise en place de points de suivis, de KPI), afin d’assurer une vision claire sur son périmètre
Compétences comportementales :
Flexibilité et ouverture d'esprit
Capacité d’écoute et de compréhension des enjeux business : diplomatie, relationnel
Qualités rédactionnelles tant en français qu’en anglais ; esprit de synthèse, bonne communication
Capacité à piloter et challenger des prestataires extérieurs
Curieux des innovations technologiques.
Poste basé à Levallois.
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=9968165c2ba934b5
Data Architect - Mobilité,Sept Lieues,Paris (75),60 000 € - 80 000 € par an,"Paris (75)
CDI
60 000 € - 80 000 € par an
Entreprise dans le secteur de la mobilité, qui développe des solutions innovantes.
LE POSTE / LES MISSIONS
Vous rejoindrez le pôle data, constitué d'une vingtaine de personnes (data engineers / data scientists).

Vous travaillerez en mode agile et interviendrez sur des aspects techniques relatifs à l'architecture big data.

Quelques exemples:
S'assurer de la qualité des livrables et de la tenue des deadlines
Définir et mettre en place l'architecture technique
S'assurer de la performance de l'architecture et l'optimisation de ses coûts
Concevoir des solutions cloud pour les infrastructures en place
Faire de la veille technologique

Technos: Cloud Azure, Scala, Kafka, Docker, Kubernetes, etc.
PROFIL RECHERCHÉ
Formation d'Ingénieur Bac+5
Expérience sur un poste similaire
Expérience avec les technologies Big Data
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=f56f9eee7297d961
DATA ARCHITECT,Harnham,Paris (75),70 000 € - 80 000 € par an,"Paris (75)
CDI
70 000 € - 80 000 € par an
Data Architect
Paris, France
70000 - 80000
Dans le cadre de son développement, une entreprise spécialisé dans le conseil des système d'information créer aujourd'hui un pôle Big Data qui aura pour but de fournir a ses divers partenaires une expertise dans ce domaine passionnant et challengeant. Cette société de plus de 10 ans se spécialise dans l'industrie de la finance. Le poste ouvert est un poste d'Expert Big Data.


LE POSTE:
Vous serez en premier lieux un consultant architecte Big Data (80% du travail)
vous aurez des missions spécifiques au développement d'architectures Big Data
En interne, vous prendrez le rôle de leader et vous construirez autour de vous une équipe afin de définir les besoins Big Data de l'entreprise et ensuite implémenter les solutions (20% du travail)
Représentation de la société (conférences et meetups), et développement du département Big data (recrutements, coaching)
Plus généralement, vous définirez et construirez des plateformes Big Data (POC, et conduite de projets)
Environnement technologique: Écosystème hadoop, Base de Donnée NoSQL, programmation orienté objet
VOTRE PROFIL:
Bac+5 dans les domaines IT, Statistiques, Mathématiques, Computer Science, ou similaire
Expérience du traitement de grande quantité de donnée, et des technologies telles que MapReduce, Hadoop, HBase, Hive, et NoSQL
Expérience de plus de 5 ans
Expérience en management est un plus
Anglais souhaité
POUR POSTULER:
Merci de me faire part de votre CV à jour et je vous recontacterai au plus vite.
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=5096a2e87a16a542
Data Architecte – @PwC Neuilly sur Seine – CDI – H/F,PwC,Neuilly-sur-Seine (92),vide,"Neuilly-sur-Seine (92)
Line of Service
Assurance
Industry/Sector
Not Applicable
Specialism
Risk Architecture
Management Level
Manager
Job Description & Summary
Au sein de l’équipe Data & Analytics de PwC France, vous apportez votre connaissance sur le volet des nouvelles architectures et technologies. Vous accompagnerez nos clients dans la préconisation de d’architectures Data (& SI) ainsi que dans la mise en œuvre.

Votre activité de conseil sera complétée par une activité interne de définition, de conception et de monitoring des plateformes applicatives (Smart & Big Data, et Intelligence Artificielle) afin d’aider les consultants et data scientist à répondre aux problématiques d'audit, de data visualisation et de reporting chez une variété de clients grands comptes.
Ce que vous pouvez attendre de la mission :
Contribuer à la définition et au développement de l’offre Architecture & Technologies de PwC France essentiellement sur des sujets « Data Intelligence » en collaboration avec les autres architectes de l’équipe Data et la DSI
Porter et intervenir sur les missions de conseil en Architecture et Technologies auprès de nos clients
Identifier et suivre les besoins en données et les indicateurs de performance clés, effectuer et documenter l’analyse des écarts sur les attentes clients.
Réaliser de la veille technologique afin d'identifier les meilleures solutions d'intégration des données externes (publiques, open data, données client privées) tout en maintenant des conditions optimales de scalabilité et de sécurité des architectures de l’équipe Data
Faire respecter sur tous les projets client interne comme externe les prérequis techniques et sécuritaires requises au RSSI et au CISO
Formaliser et animer des formations techniques sur les technologies liées à la Data (sur l’architecture, les modèles de données, la gouvernance, les normes et les bonnes pratiques) dans le cadre de la Data Academy / Data Foundation
Vous bénéficiez de notre engagement à investir dans votre développement professionnel.
Ce que nous attendons de vous :
Formation Bac+5 minimum en informatique avec au moins 3 ans d’expérience professionnelle réussie
Connaissances l’architecture logicielle de systèmes complexes : Cloud (Amazon, Azure, Oracle, Google), Big Data, IoT
Aisance pour les activités du métier de conseil : bon relationnel, écoute, engagement client, curieux, rigueur et force de proposition en interne ou auprès de nos clients
Anglais courant
Compétences souhaitées :
Modélisation de bases de données relationnelles, non relationnelles (SQL + NoSQL) et multidimensionnelles pour répondre aux différents usages métiers selon les besoins utilisateurs
Connaissance en conception de structure d’entrepôt de données de type Datawarehouse, Datamart
Connaissances en administration & architecture de base de données (SQL Server, Oracle, MySQL, MariaDB, MongoDB, PostgreSQL)
Connaissances des patterns d’architecture Big Data et streaming data (architecture Lambda, Kappa)
Expérience en Data Visualisation : Tableau, Power BI, SSRS, Qlik, SAP BW
Maîtrise des technologies de Scripting Shell/PowerShell et connaissance en langages de programmation (Python ou Java)
Maîtrise des bonnes pratiques et connaissances réseau et sécurité (proxy, SSL, SSO)
Expériences souhaitées :
Architecture de solutions d’intégration de données impliquant le Big Data et Hadoop (Spark, Storm, Kafka)
Expérience démontrée en matière d’intégration de données, de la qualité des données et d’autres solutions liées à ETL (Informatica, Alteryx, SSIS, Talend)
Maitrise de la cartographie des systèmes d’information
Connaissance des solutions d’architecture avec des EAI (BizTalk, Talend, Tibco)
Compréhension des méthodes de conception des applications en réponse aux besoins utilisateurs sur la base de patterns composables, auditables et scalables: REST, CQRS, Event Sourcing, Domain Driven Design...
Connaissance des outils d'indexation et de recherche de l'information (Elasticsearch ou Solr) et des problématiques de data discovery
Mots-clés : Architecture (On premise, Cloud) Data & Analytics, Big Data, IoT, SAP, Conseil, Big Four, Shell, PowerShell, Python, Putty, FTPS, SSO (SAML), reverse proxy, puppet/ansible/etc...,
Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:
Degrees/Field of Study preferred:
Certifications (if blank, certifications not specified)
Desired Languages (If blank, desired languages not specified)
Travel Requirements
Up to 20%
Available for Work Visa Sponsorship?
Yes
Government Clearance Required?
No
Job Posting End Date
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=402ad250741bca07
DATA Architect H/F - CDI,Hire.fr,Paris (75),vide,"Paris (75)
Temps plein, Temps partiel
Le Data Architect est garant de l’optimisation des objectifs stratégiques d’une organisation par son expertise quant à l’utilisation des données d’entreprise.

Le Data Architect est garant de l’alignement de l’exploitation et des usages de la donnée avec les objectifs stratégiques de l’entreprise et le respect des réglementations en vigueur

Il définit les standards relatifs à la nature des données, leur collecte, leur organisation et leur mode de stockage et s’assure des modalités de leur tri, leurs intégrations, ainsi que leur utilisation dans des systèmes de données. Dans ce sens, le Data Architect intervient sur les thèmes suivants :
La vision de l’état actuel des données de l’entreprise
Un vocabulaire métier standard pour les données et les composants
L’alignement de l’architecture de données avec la stratégie d’entreprise et l’architecture fonctionnelle
L’impact de la stratégie d’entreprise sur les informations / les données
Les modèles de conceptions de haut niveau pour attendre ces besoins
L’intégration des besoins dans la roadmap globale d’architecture
La bonne application des principes d’architecture dans le cadre des projets
Le maintien d’une vision transverse et globale des données de l’entreprise, de leur exploitation, de leurs usages
Formation Bac+5 ou équivalent,
Connaissance avancée de la Business Intelligence
Connaissance avancée des écosystèmes Big Data
Connaissance avancée des différentes approches du traitement de la données à des fins d'analyse
Connaissance avancée des différentes approches de transport des données
Connaissance des techniques de stockage et de sécurisation des données
Connaissance des contraintes de chaque composant d’un système d’information (ERP, CRM, DMP…)
Excellent relationnel et leadership
Capacité avancée à collecter des besoins
Esprit de synthèse et de priorisation
Capacité à s’exprimer en public
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=5602e35fbdc04108
BIG DATA ARCHITECT,Tomorrow Jobs,Paris (75),vide,"Paris (75)
Temps plein, CDI
L'ENTREPRISE
Tomorrow Jobs recrute pour l’un de ses clients, une société de développement logiciels présente dans plusieurs pays d'Amérique, d'Asie et d'Europe :
1 BIG DATA ARCHITECT H/F CDI – Paris – ASAP
POSTE ET MISSIONS
En développement constant de technologies Big Data, le Big Data Architect doit utiliser ses compétences stratégiques pour mettre en place son champ d'actions. Le BDA doit avoir la capacité de s'adapter facilement aux changements environnementaux afin d'assurer la conduite stratégique pour atteindre les objectifs fixés. Au sein de l'entreprise, le BDA doit avoir une vision claire de la politique interne.
Vos principales missions et responsabilités sont les suivantes :
Business Analysis - Connaissance du business model, identification des opportunités, analyse des sources de données publiques, mesure de l'audience atteinte avec le contenu web.
Gap Analysis - Analyse profonde du contexte technique afin de mettre en place une roadmap Big Data
Data Reservoir - Définition rationnelle de la base de données, utilisation de Hortonworks, Cloudera, MapR ou Hadoop, utlisation de database NoSQL comme HBase, MongoDB ou Cassandra
Data Ingestion, cleansing & catalog - Validation de données brutes, structuration des données, développement d'ETL avec différents outils comme Apache Pig, Apache Hive, MapReduce ou Pentaho DI
Data Mining - Travail en collaboration avec les Data Scientists, suggestions d'améliorations, design d'une stratégie de récupération de données.
Deployment and Disaster Recovery - Management de solutions big data, configuration et ajustement de cluster
PROFIL RECHERCHÉ
Diplômé d'un BAC+5 vous avez a minima 3 ans d'expérience comme DBA sous Oracle ou Postgresql. Vous maîtrisez le développement sous Python et/ou JAVA à un niveau avancé.
Prérequis essentiels pour le poste :
AWS (S3, Athena, EMR) ou Google Cloud
Apache (Pig, Hive, Hadoop)
MapReduce
Storm, Spark, Impala
Oozie, Azkaban
NoSQL
MongoDB
HortonWorks
Bilingue Français - Anglais
Type d'emploi : Temps plein, CDI
Expérience:
big data architect ou similaire: 1 an (Souhaité)
il y a 30+ jours
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=a7e26555129ee641
Group Data Architect (H/F),Thales Group,Vélizy-Villacoublay (78),vide,"Vélizy-Villacoublay (78)
QUI SOMMES-NOUS ?
Sur plus de 30 sites en France, les 1 400 collaborateurs des services partagés du Groupe œuvrent chaque jour pour délivrer en interne des Services, accélérateurs de performance. En mutualisant tout ou partie des grandes fonctions de l’entreprise au sein de centres d’expertises, Thales améliore ainsi sa compétitivité, favorise sa croissance et développe ses talents en faisant des services partagés, une étape clé dans un parcours de carrière.
Le site de Vélizy regroupe les activités des services partagés du groupe, le Learning Hub (centre de formation du Groupe) ainsi que le Géris (société de développement économique local de Thales, www.geris.fr).
L’équipe DSI Groupe, recherche un/une GROUP DATA ARCHITECT (H/F)
Poste basé à Vélizy
QUI ETES-VOUS ?
Vous êtes issu(e) d’une formation Bac +5 université ou école d'ingénieurs ?
Vous avez une expérience professionnelle confirmée avec des Data Managers, et/ou Data Owners et/ou Chief Data Officer ?
Vous possédez une méthodologie d’analyse dirigée par les données ?
Vous savez réaliser des travaux d’architecture ?
Votre expérience en analyse de valeur métier est un plus ?
Vous aimez travailler en équipe ?
Vous avez un bon état d’esprit, le sens de l’initiative et êtes force de proposition ?
Vous possédez un anglais courant avec de bonnes capacités rédactionnelles pour synthétiser ?
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Contexte :
Dans le cadre de sa transformation digitale, Thales doit exploiter la donnée interne, avec la gouvernance adéquate, et ce en tant que base d’amélioration et de croissance de l’entreprise.
Elle repose sur une organisation de la donnée appropriée, avec une propriété claire de la donnée, et une carte explicitant comment sont reliés les différents éléments de données. Il est ainsi crucial pour Thales de recruter un Architecte Data pour rejoindre ses équipes.
L’Architecte Data rapportera conjointement au Chief Data Officer et au Chief Enterprise Architect, tout en étant rattaché hiérarchiquement à la DSI Groupe. Il/elle se focalisera sur l’organisation des données internes, permettant l’exploitation à la fois des données internes et externes. En interagissant étroitement avec les organes de Data Governance et Data Analysis, il/elle jouera un rôle crucial pour exploiter les données Thales.
Son/sa mission consistera en deux activités principales:
Maintenir un modèle de données global, garantissant la cohérence de la donnée avec les data owners identifiés
Supporter le Group Data Manager pour construire le modèle haut niveau des objets métiers de Thales: hiérarchie des données, applications de référence et préparation de la validation par les parties prenantes clés
Formaliser le modèle de données et le modèle d’objets métier, en se concentrant sur leur corrélation
Définir comment les données devraient être organisées au sein du Datalake commun en complément des ilôts de données locaux (données réglementaires pays), et aligné avec le modèle haut niveau
Supporter les cas d’usage d’analyse de données
Définir les lignes directes d’architecture en s’appuyant sur les fonctionnalités core data (capacité de stockage de données, gestion des accès, etc.)
Ajuster le modèle de données global en s’appuyant sur ces cas d’usage
Les réalisations de l’Architecte Data Architect se baseront sur les éléments fournis par les Fonctions Thales (Finance, Ingénierie, Industrie, …), des métiers (Global Business Units) et de l’Architecture d’Entreprise.
L’Architecte Data interagira avec le Group Chief Data Officer et son organisation (GBU Data Officers et les Data Managers), pour permettre une gouvernance efficace, pour garantir la qualité des données, aussi bien à un niveau local qu’à un niveau groupe.
Il/elle intéragira aussi avec les interlocuteurs IS/IT pour assurer la cohérence du modèle de données avec les applications et avec les Data analysts pour assurer l’applicabilité du modèle.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Thales - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=9a086945ebfcfb60
Mentor Data Architect,OpenClassrooms - Mentorship Team (FR),Paris 10e (75),vide,"Paris 10e (75)
Temps partiel
Vous êtes passionné par l’architecture des données? Vous aimez partager votre expérience ? Vous avez envie de transmettre votre passion à nos étudiants et les accompagner vers la réussite dans leur futur métier ?
Nous formons des étudiants au métier de Data Architect et nous recherchons quelqu'un comme vous pour les mentorer.

OpenClassrooms est la plateforme d’éducation en ligne, leader en Europe. Avec plus de deux millions de membres, nous mettons l’innovation pédagogique au service de l’éducation pour tous. Nous proposons, pour la première fois en France, de former des professionnels de la Data entièrement en ligne et en français.

Pourquoi devenir mentor ?
Partager vos connaissances : vous avez un impact clair et direct sur la vie de vos étudiants. Ils ne seront pas prêts de vous oublier car vous contribuerez à leur réussite !
Travailler en toute flexibilité : les mentors travaillent quand ils veulent, selon leurs disponibilités. Vous pourrez accompagner 1, 2 ou 10 étudiants, à vous de voir !
Vous travaillez où vous voulez dans le monde, pas besoin de vous déplacer car la formation a lieu entièrement en ligne.
Développer votre expérience : les mentors apprennent autant que leurs étudiants. Vous serez guidés par notre équipe ; un cours vous permettra d'acquérir toutes les compétences nécessaires : “Devenez mentor sur OpenClassrooms”. Vous pourrez aussi travailler en réseau avec les autres mentors.
Vous former : OpenClassrooms met à votre disposition plusieurs parcours et de nombreux cours afin de contribuer à votre développement de compétences.
Être rémunéré : en tant que Mentor, vous serez rémunéré(e) 40€ par session de 45mn donc à vous de décider des honoraires souhaités chaque mois.
Votre mission :
Vous rencontrerez chaque étudiant en visioconférence une fois par semaine pour une session en ligne de 45 minutes. Vous le guiderez dans toutes les étapes de son acquisition de compétences, en vous appuyant sur le parcours de formation, en route vers l'obtention de son diplôme !

Le parcours diplômant de Data Architect est à consulter ici.

Ce que nous attendons :
Une formation d’ingénieur est souhaitée mais pas obligatoire.
Voici les compétences techniques requises selon les projets à encadrer sur le Parcours ; vous nous direz lesquels vous correspondent le mieux :
Projet ""Réalisez un apprentissage distribué""- Outils utilisés :Spark, Hadoop MapReduce, Amazon Web Services .
Projet ""Traitez les données en temps réel"" - Outils utilisés : Apache Kafka, Apache Storm, Amazon Web Services.
Projet ""Analysez des données en batch"" - Outils utilisés: HDFS, Avro, Spark SQL.
Projet ""Développez une architecture Big Data complète"" - Outils utilisés : HDFS, Spark ou Hadoop MapReduce, Kafka, Storm, Amazon Web Services (S3, EMR).

On dit que vous êtes sympa, à l'écoute des gens. Vous savez rassurer et accompagner dans la bonne direction.
Vous êtes disponible au minimum 1h/semaine pour accompagner 1 étudiant. Vous pouvez augmenter le rythme par la suite : si vous choisissez d'avoir 10 étudiants, cela vous occupera donc 10h/semaine.
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=73dd517af4a8d369
Cloud Data Architect Manager – Secteur de la santé (H/F),Altaide,Paris (75),vide,"Paris (75)
CDI
Cloud Data Architect Manager (H/F)
Groupe mondial évoluant dans l’univers de la santé, notre division Industrie représente plus de 80 sites de production produisant plus de 5 Milliards d’unités produits par an. Nous sommes largement engagés dans la transformation digitale de l’entreprise et en route vers un modèle d’Usine 4.0. Gérer la variété des projets à mener en mode agile, nous permet de conduire la transformation numérique des process en exploitant les actifs data, tout en favorisant de nouvelles approches et méthodes de travail. Aujourd’hui nos enjeux sont d’internaliser l’expertise technique data et cloud en passant d’une informatique support à un avantage compétitif pour l’industrie, le tout dans un contexte réglementaire fort. Pour cela, nous recrutons un Cloud Data Architect Manager.

Une mission phare dans notre organisation :
En tant que Cloud Data Architect, vous imaginez et mettez en place une architecture « data driven » pour permettre aux data scientists ainsi qu’analystes de mieux comprendre les données. Référent ainsi que leader technique sur ces sujets, vous définissez les bonnes pratiques pour l’intégration des données et pour le datalake.
En collaboration avec l’équipe développement (5 personnes à ce jour), vous vous assurez que la stratégie ainsi que les décisions relatives à l’architecture commune sont mises en œuvre de manière cohérente dans l’ensemble de l’entreprise et des services informatiques. Par ailleurs, vous portez la vision globale et évangélisez toutes les parties prenantes.
Au quotidien vos principales responsabilités porteront sur :
Amener et porter la vision technique et la roadmap
Diriger la conception technique du data lake et l’intégration des données
Concevoir et contribuer à la mise en œuvre des solutions techniques requises pour une intégration et un accès optimal aux données à partir d’un large éventail de sources en utilisant les infrastructures et les services managés cloud AWS, ou GCP
Créer et gérer des pipelines de traitement pour des ensembles de données volumineux et complexes
Fournir des solutions « scalables » exploitant un ou plusieurs services cloud AWS
Travailler aux côtés des équipes Cloud Data Engineers, Cloud System Developers pour mettre en œuvre les architectures définies
Collaborer avec les datas scientists et le métier exploitant la données pour bien connaître les exigences métiers
Partager son expertise et contribuer au reskilling des équipes internes existantes
Prendre en compte un environnement réglementé
Être constamment en veille et tester de nouvelles approches et technos
Participer au recrutement de nouvelles compétences pour renforcer l’équipe
Assurer un reporting régulier de vos actions
Environnement technique :
Technologies Cloud / IaaS / SaaS / PaaS (Clouds privés et publics comme AWS, Azure, Google)
API first
DevOps et intégration continue / livraison continue/infra as code/serveless platform
Cloud Native Platforms / Microservices
Stockage de données NoSQL
Une solide expérience de l’architecture data :
De formation supérieure, anglais courant, vous avez au moins cinq années d’expérience dans un poste similaire, et avez notamment mis en place conçu et mis en place une architecture data dans le cloud dans des contextes à forte volumétrie. Vous y avez développé votre savoir-faire de manager d’équipes tant internes qu’externes.
Vous avez une bonne compréhension des plates-formes cloud et en particulier d’AWS (avec utilisation de services managés tels que Glue, Lambda, S3, redshift…), également des outils et de frameworks Big Data (Spark…), ainsi que des principales technos autour des architectures cloud et data. Idéalement vous avez déjà participé à des projets de conception ainsi qu’à des implémentations de data lake.
Aujourd’hui vous recherchez une responsabilité élargie sur des projets ambitieux et disposant de moyens conséquents.
Pourquoi nous rejoindre ?
Un secteur d’activité porteur de sens et de valeurs : la santé
Un poste à fort impact dans l’entreprise
Une forte ambition, autour de l’exploitation de la data, portée par notre VP Industrie Monde
Des choix technos de pointe ainsi que de gros moyens pour les mettre en place
Une création de poste vous laissant l’opportunité de bâtir entièrement la plateforme data de demain et par ailleurs de constituer votre équipe
Une forte attention portée à l’équilibre travail et vie personnelle
Un environnement de travail productif et agréable
Retrouvez toutes nos offres d’emploi en Architecture Technique !
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=011414248320c4dc
DATA ARCHITECT,ALSTOM,Saint-Ouen (93),vide,"Saint-Ouen (93)
Req ID: 54315

We create smart innovations to meet the mobility challenges of now and the future. We design and manufacture a complete range of transportation systems, from high-speed trains to electric buses, autonomous subways, signalling and digital mobility solutions. Joining us means joining a truly global community of 36 300 people dedicated to solving real-world mobility challenges and achieving international projects with sustainable local impact.
What are my responsibilities?
As Data Architect, you lead the industrialization and the deployment of our PHM applications worldwide. You partner with our data capture experts, fellow data scientists and IT guys to create a cohesive working environment driven by curiosity and innovation.
Your responsibilities include:
Contributing to the design and development of the architecture of the data platform which hosts our PHM applications.
Adapting the dataflow management and data storage strategy to our range of solutions and customers, partnering with PHM data scientists, PHM engineers and our customer’s IT department and our Alstom IS&T.
Ensuring the maintainability, upgradeability and scalability of our solutions through careful planning of feature deployment at the platform level, in agreement with the product roadmap defined by the Solution Director.
Supporting the team in planning a development roadmap.
Contributing hands-on to the actual implementation of the platform functionalities.

What do I need to qualify for this job?
In addition to being a technical expert, your analytical and creative mind makes you a problem solver, driven by the curiosity and excitement to be building the mobility of the future. You also demonstrate the ability to work in an international and multidisciplinary team.

Minimum qualifications
5 to 15 years of experience with a software vendor, IT service provider or digital player.
Proven experience in designing and developing production-grade data applications, including data model design
Fluent in English.
Extensive knowledge of data processing and storage, in Java or/and Python, PostgresSQL
Extensive knowledge of Kubernetes and Linux environment.
Engineering degree in computer science, software engineering or equivalent combination of training.

Preferred qualifications
Additional language (French is a plus).
Extensive knowledge of Apache Nifi (a plus), OpenFaaS and ElasticSearch.
Experience of Cloud providers like Microsoft Azure or AWS, including security and VPN
Experience of Machine Learing in Python or R.
We believe that a diverse and inclusive workforce is a lever to running a sustainable and successful business. We are dedicated to creating an inclusive environment where all our employees are encouraged to reach their full potential, and individual differences are valued and respected.

Job Segment: Database, Computer Science, Developer, Java, Linux, Technology
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=91b2b39d9489073b
